# Navigation System Test Queries
# Format: DIFFICULTY_LEVEL|QUERY_TEXT

# EASY QUERIES (30 total)
# 15 with explicit origin, 15 without origin

HARD|From UC Berkeley, find the best route to a Mexican restaurant, Best Buy, and the Starbucks on Telegraph Avenue
HARD|Beginning at Oracle Park, plan an optimal route to a pharmacy, Trader Joe's, and Lombard Street
HARD|I'm starting from Menlo Park Library. Find me the best route to visit a dry cleaner, Safeway, and Facebook headquarters
HARD|From San Jose Airport, create an optimal route to a pizza place, Home Depot, and Santana Row
HARD|Starting at Facebook headquarters, plan the best path to a nail salon, Costco, and Half Moon Bay
HARD|I'm at Mountain View Caltrain. Find an optimal route to a dental office, REI, and the Computer History Museum
HARD|From Stanford Memorial Church, get me the best route to visit a bank, Nordstrom, and Golden Gate Park
HARD|Beginning at Redwood City Courthouse, plan an optimal route to a hair salon, Walmart, and Fisherman's Wharf
HARD|I'm starting from Palo Alto High School. Find the best route to visit an auto repair shop, Macy's, and Alcatraz Island
HARD|From Campbell Community Center, create an optimal path to a veterinarian, a bakery, and Great America
HARD|Starting at Los Altos Main Street, find the best route to visit a gym, a pet store, and Stanford Stadium
HARD|Find me an optimal route to visit a coffee shop, a grocery store, and a gas station
HARD|Plan the best route to a pharmacy, a restaurant, and a bookstore
HARD|Get me an optimal path to visit a bank, a hardware store, and a shopping mall
HARD|Route me optimally to a gym, a dry cleaner, and a nail salon
HARD|Find the best route to a Starbucks, a Target, and a dentist
HARD|Create an optimal route to visit a sushi place, a CVS, and a pet store
HARD|Plan the best path to a bakery, a Best Buy, and a library
HARD|Get me an optimal route to visit a hair salon, a Whole Foods, and a Mexican restaurant
HARD|Find the best route to a pizza place, a Walgreens, and an auto shop
HARD|Route me optimally to a veterinarian, a Trader Joe's, and a Costco
HARD|Plan an optimal path to visit a dental office, a Nordstrom, and a Starbucks
HARD|Find the best route to a bank, a Home Depot, and a sushi restaurant
HARD|Create an optimal route to visit a gym, a Safeway, and a bookstore
HARD|Get me the best path to a nail salon, a REI, and a pizza place
HARD|Plan an optimal route to visit a dry cleaner, a Macy's, and a coffee shop
